threshold,alerts,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1,net_expected_cost
0.01,154924,1481,153443,0,1270804,0.009559525961116418,1.0,0.018938013490617307,2392100
0.02,66630,1481,65149,0,1359098,0.022227224973735554,1.0,0.043487836032358944,184750
0.03,37818,1481,36337,0,1387910,0.03916124596752869,1.0,0.07537087457696125,-535550
0.04,20288,1481,18807,0,1405440,0.07299881703470032,1.0,0.13606504662593596,-973800
0.05,10181,1481,8700,0,1415547,0.14546704645909045,1.0,0.25398730920939805,-1226475
0.060000000000000005,5197,1481,3716,0,1420531,0.2849720992880508,1.0,0.44354597184785866,-1351075
0.06999999999999999,3179,1481,1698,0,1422549,0.4658697703680403,1.0,0.6356223175965665,-1401525
0.08,2345,1481,864,0,1423383,0.6315565031982943,1.0,0.774176685833769,-1422375
0.09,1941,1481,460,0,1423787,0.7630087583719732,1.0,0.8655756867329047,-1432475
0.09999999999999999,1698,1481,217,0,1424030,0.8722025912838633,1.0,0.9317395407360806,-1438550
0.11,1572,1481,91,0,1424156,0.9421119592875318,1.0,0.9701932525384868,-1441700
0.12,1525,1481,44,0,1424203,0.9711475409836066,1.0,0.9853626081170991,-1442875
0.13,1503,1481,22,0,1424225,0.9853626081170991,1.0,0.9926273458445041,-1443425
0.14,1492,1481,11,0,1424236,0.9926273458445041,1.0,0.9963000336360579,-1443700
0.15000000000000002,1488,1481,7,0,1424240,0.9952956989247311,1.0,0.9976423038059953,-1443800
0.16,1485,1481,4,0,1424243,0.9973063973063973,1.0,0.9986513823331086,-1443875
0.17,1485,1481,4,0,1424243,0.9973063973063973,1.0,0.9986513823331086,-1443875
0.18000000000000002,1484,1481,3,0,1424244,0.9979784366576819,1.0,0.9989881956155143,-1443900
0.19,1483,1481,2,0,1424245,0.9986513823331086,1.0,0.9993252361673415,-1443925
0.2,1482,1481,1,0,1424246,0.9993252361673415,1.0,0.9996625042186973,-1443950
0.21000000000000002,1482,1481,1,0,1424246,0.9993252361673415,1.0,0.9996625042186973,-1443950
0.22,1482,1481,1,0,1424246,0.9993252361673415,1.0,0.9996625042186973,-1443950
0.23,1482,1481,1,0,1424246,0.9993252361673415,1.0,0.9996625042186973,-1443950
0.24000000000000002,1482,1481,1,0,1424246,0.9993252361673415,1.0,0.9996625042186973,-1443950
0.25,1482,1481,1,0,1424246,0.9993252361673415,1.0,0.9996625042186973,-1443950
0.26,1482,1481,1,0,1424246,0.9993252361673415,1.0,0.9996625042186973,-1443950
0.27,1482,1481,1,0,1424246,0.9993252361673415,1.0,0.9996625042186973,-1443950
0.28,1482,1481,1,0,1424246,0.9993252361673415,1.0,0.9996625042186973,-1443950
0.29000000000000004,1482,1481,1,0,1424246,0.9993252361673415,1.0,0.9996625042186973,-1443950
0.3,1482,1481,1,0,1424246,0.9993252361673415,1.0,0.9996625042186973,-1443950
0.31,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.32,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.33,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.34,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.35000000000000003,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.36000000000000004,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.37,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.38,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.39,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.4,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.41000000000000003,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.42000000000000004,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.43,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.44,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.45,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.46,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.47000000000000003,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.48000000000000004,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.49,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.5,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.51,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.52,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.53,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.54,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.55,1481,1481,0,0,1424247,1.0,1.0,1.0,-1443975
0.56,1480,1480,0,1,1424247,1.0,0.9993247805536799,0.999662276258021,-1438000
0.5700000000000001,1480,1480,0,1,1424247,1.0,0.9993247805536799,0.999662276258021,-1438000
0.5800000000000001,1480,1480,0,1,1424247,1.0,0.9993247805536799,0.999662276258021,-1438000
0.59,1480,1480,0,1,1424247,1.0,0.9993247805536799,0.999662276258021,-1438000
0.6,1479,1479,0,2,1424247,1.0,0.9986495611073599,0.9993243243243243,-1432025
0.61,1479,1479,0,2,1424247,1.0,0.9986495611073599,0.9993243243243243,-1432025
0.62,1479,1479,0,2,1424247,1.0,0.9986495611073599,0.9993243243243243,-1432025
0.63,1477,1477,0,4,1424247,1.0,0.9972991222147198,0.9986477349560514,-1420075
0.64,1477,1477,0,4,1424247,1.0,0.9972991222147198,0.9986477349560514,-1420075
0.65,1476,1476,0,5,1424247,1.0,0.9966239027683997,0.9983090970578289,-1414100
0.66,1474,1474,0,7,1424247,1.0,0.9952734638757597,0.9976311336717428,-1402150
0.67,1473,1473,0,8,1424247,1.0,0.9945982444294396,0.997291807718348,-1396175
0.68,1472,1472,0,9,1424247,1.0,0.9939230249831195,0.9969522519471724,-1390200
0.6900000000000001,1471,1471,0,10,1424247,1.0,0.9932478055367995,0.9966124661246613,-1384225
0.7000000000000001,1468,1468,0,13,1424247,1.0,0.9912221471978393,0.9955917260088165,-1366300
0.7100000000000001,1468,1468,0,13,1424247,1.0,0.9912221471978393,0.9955917260088165,-1366300
0.72,1463,1463,0,18,1424247,1.0,0.987846049966239,0.9938858695652174,-1336425
0.73,1460,1460,0,21,1424247,1.0,0.9858203916272789,0.9928595715742945,-1318500
0.74,1456,1456,0,25,1424247,1.0,0.9831195138419987,0.9914879128362274,-1294600
0.75,1455,1455,0,26,1424247,1.0,0.9824442943956786,0.9911444141689373,-1288625
0.76,1453,1453,0,28,1424247,1.0,0.9810938555030385,0.9904567143830948,-1276675
0.77,1450,1450,0,31,1424247,1.0,0.9790681971640783,0.989423404981235,-1258750
0.78,1447,1447,0,34,1424247,1.0,0.9770425388251182,0.9883879781420765,-1240825
0.79,1441,1441,0,40,1424247,1.0,0.9729912221471978,0.9863107460643394,-1204975
0.8,1437,1437,0,44,1424247,1.0,0.9702903443619176,0.9849211788896505,-1181075
0.81,1433,1433,0,48,1424247,1.0,0.9675894665766374,0.9835277968428278,-1157175
0.8200000000000001,1425,1425,0,56,1424247,1.0,0.962187711006077,0.9807295251204404,-1109375
0.8300000000000001,1412,1412,0,69,1424247,1.0,0.9534098582039163,0.9761493259592119,-1031700
0.8400000000000001,1400,1400,0,81,1424247,1.0,0.9453072248480756,0.9718847622353349,-960000
0.85,1389,1389,0,92,1424247,1.0,0.937879810938555,0.9679442508710802,-894275
0.86,1367,1367,0,114,1424247,1.0,0.9230249831195139,0.9599719101123596,-762825
0.87,1355,1355,0,126,1424247,1.0,0.9149223497636731,0.9555712270803949,-691125
0.88,1331,1331,0,150,1424247,1.0,0.8987170830519919,0.9466571834992887,-547725
0.89,1303,1303,0,178,1424247,1.0,0.8798109385550303,0.9360632183908046,-380425
0.9,1276,1276,0,205,1424247,1.0,0.861580013504389,0.9256438157417483,-219100
0.91,1243,1243,0,238,1424247,1.0,0.8392977717758271,0.9126284875183553,-21925
0.92,1213,1213,0,268,1424247,1.0,0.8190411883862255,0.9005196733481812,157325
0.93,1164,1164,0,317,1424247,1.0,0.7859554355165429,0.8801512287334594,450100
0.9400000000000001,1102,1102,0,379,1424247,1.0,0.7440918298446996,0.8532713898567557,820550
0.9500000000000001,1031,1031,0,450,1424247,1.0,0.6961512491559757,0.820859872611465,1244775
0.9600000000000001,956,956,0,525,1424247,1.0,0.6455097906819717,0.7845711940910957,1692900
0.97,835,835,0,646,1424247,1.0,0.5638082376772451,0.7210708117443869,2415875
0.98,708,708,0,773,1424247,1.0,0.47805536799459825,0.646870717222476,3174700
0.99,507,507,0,974,1424247,1.0,0.34233625928426736,0.5100603621730382,4375675
