threshold,alerts,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1,net_expected_cost
0.01,1424784,1481,1423303,0,944,0.0010394558052308279,1.0,0.0020767529175854415,34138600
0.02,1354264,1480,1352784,1,71463,0.001092844526621102,0.9993247805536799,0.002183301432053963,32381600
0.03,1057946,1478,1056468,3,367779,0.0013970467301733737,0.9979743416610398,0.0027901875258984337,24985650
0.04,813424,1459,811965,22,612282,0.001793652510867641,0.9851451721809588,0.003580785490333229,18986600
0.05,613989,1441,612548,40,811699,0.0023469475837515005,0.9729912221471978,0.0046826002892098725,14108725
0.060000000000000005,443588,1407,442181,74,982066,0.003171862178417811,0.950033760972316,0.006322615145067394,10052700
0.06999999999999999,329474,1362,328112,119,1096135,0.0041338618525285755,0.9196488858879136,0.008230726231662915,7469850
0.08,258379,1309,257070,172,1167177,0.005066201200561965,0.8838622552329507,0.01007465558377588,6010475
0.09,211398,1253,210145,228,1214102,0.0059272083936461085,0.8460499662390277,0.011771945565321145,5171950
0.09999999999999999,178491,1193,177298,288,1246949,0.006683810388198845,0.8055367994598245,0.013257617851665815,4709275
0.11,154394,1138,153256,343,1270991,0.007370752749459176,0.7683997299122215,0.014601443464314355,4436850
0.12,135580,1093,134487,388,1289760,0.008061661011948665,0.738014854827819,0.0159491029541591,4236500
0.13,120029,1054,118975,427,1305272,0.008781211207291572,0.7116812964213369,0.017348366389597563,4081725
0.14,106444,1011,105433,470,1318814,0.009497951974747286,0.6826468602295747,0.018735232800555942,4000100
0.15000000000000002,94182,988,93194,493,1331053,0.010490327238750504,0.6671168129642133,0.020655843952207226,3831550
0.16,83324,962,82362,519,1341885,0.011545293072824156,0.6495611073598919,0.02268734154825777,3716100
0.17,73496,940,72556,541,1351691,0.012789811690432131,0.6347062795408508,0.02507435613588167,3602400
0.18000000000000002,64337,915,63422,566,1360825,0.014221987347871366,0.6178257933828494,0.027803944209790633,3523425
0.19,55839,883,54956,598,1369291,0.01581332043911961,0.5962187711006077,0.030809490579204468,3502975
0.2,48071,858,47213,623,1377034,0.01784859894739032,0.5793382849426063,0.034630287374878915,3458775
0.21000000000000002,41024,839,40185,642,1384062,0.02045144305772231,0.5665091154625254,0.039477708504881776,3396600
0.22,34805,811,33994,670,1390253,0.0233012498204281,0.5476029709655638,0.044700435429642284,3409125
0.23,29258,789,28469,692,1395778,0.02696698338915852,0.5327481431465226,0.051335437066918246,3402450
0.24000000000000002,24460,769,23691,712,1400556,0.03143908421913328,0.5192437542201216,0.05928838518175861,3402500
0.25,20454,754,19700,727,1404547,0.03686320524102865,0.5091154625253207,0.06874857533622065,3392350
0.26,17028,728,16300,753,1407947,0.04275311252055438,0.49155975692099935,0.07866443351882868,3462700
0.27,14045,703,13342,778,1410905,0.05005339978640085,0.474679270762998,0.09055777405642149,3538125
0.28,11633,688,10945,793,1413302,0.05914209576205622,0.46455097906819715,0.1049260332469117,3567825
0.29000000000000004,9576,676,8900,805,1415347,0.07059314954051796,0.45644834571235654,0.12227548159536945,3588400
0.3,7861,661,7200,820,1417047,0.08408599414832718,0.4463200540175557,0.14151145365018197,3635525
0.31,6464,646,5818,835,1418429,0.0999381188118812,0.4361917623227549,0.16261799874134675,3690600
0.32,5265,632,4633,849,1419614,0.12003798670465338,0.4267386900742741,0.18737029350726356,3744625
0.33,4332,617,3715,864,1420532,0.14242843951985226,0.41661039837947333,0.21228281438155858,3811300
0.34,3487,604,2883,877,1421364,0.17321479782047605,0.40783254557731263,0.2431561996779388,3868175
0.35000000000000003,2831,586,2245,895,1422002,0.20699399505475097,0.39567859554355167,0.2717996289424861,3959775
0.36000000000000004,2268,575,1693,906,1422554,0.2535273368606702,0.38825118163403105,0.3067484662576687,4011700
0.37,1887,563,1324,918,1422923,0.2983571807101219,0.3801485482781904,0.3343230403800475,4074175
0.38,1567,554,1013,927,1423234,0.35354179961710275,0.3740715732613099,0.36351706036745407,4120175
0.39,1343,541,802,940,1423445,0.4028294862248697,0.3652937204591492,0.3831444759206799,4192575
0.4,1143,531,612,950,1423635,0.4645669291338583,0.3585415259959487,0.40472560975609756,4247575
0.41000000000000003,988,521,467,960,1423780,0.5273279352226721,0.35178933153274816,0.4220332118266505,4303700
0.42000000000000004,873,516,357,965,1423890,0.5910652920962199,0.3484132343011479,0.43840271877655057,4330825
0.43,773,506,267,975,1423980,0.6545924967658473,0.3416610398379473,0.4489795918367347,4388325
0.44,716,503,213,978,1424034,0.702513966480447,0.33963538149898714,0.45789713245334546,4404900
0.45,643,494,149,987,1424098,0.7682737169517885,0.33355840648210666,0.4651600753295669,4457075
0.46,586,480,106,1001,1424141,0.8191126279863481,0.3241053342336259,0.4644412191582003,4539650
0.47000000000000003,548,468,80,1013,1424167,0.8540145985401459,0.31600270087778526,0.4613109906357812,4610700
0.48000000000000004,522,457,65,1024,1424182,0.8754789272030651,0.3085752869682647,0.4563155267099351,4676050
0.49,500,452,48,1029,1424199,0.904,0.30519918973666443,0.4563351842503786,4705500
0.5,476,440,36,1041,1424211,0.9243697478991597,0.2970965563808238,0.44966785896780787,4776900
0.51,457,431,26,1050,1424221,0.9431072210065645,0.2910195813639433,0.44478844169246645,4830425
0.52,431,414,17,1067,1424230,0.9605568445475638,0.27954085077650237,0.4330543933054393,4931775
0.53,419,405,14,1076,1424233,0.9665871121718377,0.2734638757596219,0.4263157894736842,4985475
0.54,398,388,10,1093,1424237,0.9748743718592965,0.26198514517218097,0.41298563065460353,5086950
0.55,387,380,7,1101,1424240,0.9819121447028424,0.2565833896016205,0.4068522483940043,5134675
0.56,378,372,6,1109,1424241,0.9841269841269841,0.2511816340310601,0.40021516944593866,5182450
0.5700000000000001,372,367,5,1114,1424242,0.9865591397849462,0.24780553679945982,0.39611440906637885,5212300
0.5800000000000001,359,356,3,1125,1424244,0.9916434540389972,0.24037812288993923,0.3869565217391304,5277975
0.59,348,346,2,1135,1424245,0.9942528735632183,0.23362592842673868,0.37834882449425916,5337700
0.6,336,335,1,1146,1424246,0.9970238095238095,0.2261985145172181,0.3687396807925151,5403400
0.61,323,323,0,1158,1424247,1.0,0.21809588116137746,0.3580931263858093,5475075
0.62,314,314,0,1167,1424247,1.0,0.21201890614449695,0.3498607242339833,5528850
0.63,306,306,0,1175,1424247,1.0,0.20661715057393654,0.3424734191382205,5576650
0.64,300,300,0,1181,1424247,1.0,0.2025658338960162,0.3368893879842785,5612500
0.65,292,292,0,1189,1424247,1.0,0.19716407832545577,0.329385222786238,5660300
0.66,285,285,0,1196,1424247,1.0,0.1924375422012154,0.32276330690826727,5702125
0.67,274,274,0,1207,1424247,1.0,0.1850101282916948,0.31225071225071227,5767850
0.68,265,265,0,1216,1424247,1.0,0.17893315327481432,0.3035509736540664,5821625
0.6900000000000001,257,257,0,1224,1424247,1.0,0.17353139770425388,0.2957422324510932,5869425
0.7000000000000001,249,249,0,1232,1424247,1.0,0.16812964213369344,0.2878612716763006,5917225
0.7100000000000001,239,239,0,1242,1424247,1.0,0.16137744767049292,0.2779069767441861,5976975
0.72,230,230,0,1251,1424247,1.0,0.15530047265361244,0.2688486265341905,6030750
0.73,225,225,0,1256,1424247,1.0,0.15192437542201215,0.2637749120750293,6060625
0.74,221,221,0,1260,1424247,1.0,0.14922349763673193,0.2596944770857814,6084525
0.75,215,215,0,1266,1424247,1.0,0.14517218095881163,0.2535377358490566,6120375
0.76,202,202,0,1279,1424247,1.0,0.13639432815665092,0.24004753416518124,6198050
0.77,197,197,0,1284,1424247,1.0,0.13301823092505063,0.23480333730631706,6227925
0.78,188,188,0,1293,1424247,1.0,0.12694125590817015,0.22528460155781904,6281700
0.79,182,182,0,1299,1424247,1.0,0.12288993923024984,0.21888153938665064,6317550
0.8,176,176,0,1305,1424247,1.0,0.1188386225523295,0.2124321062160531,6353400
0.81,162,162,0,1319,1424247,1.0,0.10938555030384875,0.1972002434570907,6437050
0.8200000000000001,155,155,0,1326,1424247,1.0,0.10465901417960838,0.18948655256723718,6478875
0.8300000000000001,146,146,0,1335,1424247,1.0,0.09858203916272788,0.17947141979102643,6532650
0.8400000000000001,137,137,0,1344,1424247,1.0,0.0925050641458474,0.16934487021013597,6586425
0.85,133,133,0,1348,1424247,1.0,0.08980418636056718,0.16480793060718713,6610325
0.86,131,131,0,1350,1424247,1.0,0.08845374746792707,0.16253101736972705,6622275
0.87,120,120,0,1361,1424247,1.0,0.08102633355840648,0.14990630855715179,6688000
0.88,106,106,0,1375,1424247,1.0,0.07157326130992572,0.13358538122243227,6771650
0.89,94,94,0,1387,1424247,1.0,0.06347062795408508,0.11936507936507937,6843350
0.9,90,90,0,1391,1424247,1.0,0.06076975016880486,0.11457670273711013,6867250
0.91,79,79,0,1402,1424247,1.0,0.053342336259284265,0.10128205128205128,6932975
0.92,69,69,0,1412,1424247,1.0,0.04659014179608373,0.08903225806451613,6992725
0.93,66,66,0,1415,1424247,1.0,0.04456448345712356,0.08532643826761474,7010650
0.9400000000000001,65,65,0,1416,1424247,1.0,0.04388926401080351,0.08408796895213454,7016625
0.9500000000000001,64,64,0,1417,1424247,1.0,0.04321404456448346,0.08284789644012945,7022600
0.9600000000000001,64,64,0,1417,1424247,1.0,0.04321404456448346,0.08284789644012945,7022600
0.97,62,62,0,1419,1424247,1.0,0.04186360567184335,0.08036292935839275,7034550
0.98,56,56,0,1425,1424247,1.0,0.03781228899392303,0.07286922576447626,7070400
0.99,45,45,0,1436,1424247,1.0,0.03038487508440243,0.05897771952817824,7136125
